node_id,text,entity_type,first_chunk,first_sentence,node_frequency
n_00065,"giải quyết tranh chấp lao động có trách nhiệm chuyển yêu cầu đến hòa giải viên lao động đối với trường hợp bắt buộc phải qua thủ tục hòa giải lao động, chuyển đến hội đồng trọng tài trong trường hợp yêu cầu hội đồng trọng tài giải quyết hoặc hướng dẫn gửi đến tòa án để giải quyết",ACTION,chunk_00560,s1,3
n_00066,trong thời hạn 05 ngày,TIME_PERIOD,chunk_00560,s1,5
n_00067,05 ngày,TIME_PERIOD,chunk_00560,s1,5
n_00068,làm việc kể từ ngày hòa giải viên lao động nhận được yêu cầu từ bên yêu cầu giải quyết tranh chấp hoặc từ cơ quan,ACTION,chunk_00577,s0,3
n_00069,"yêu cầu từ bên yêu cầu giải quyết tranh chấp hoặc từ cơ quan quy định tại khoản 3 điều 181 của bộ luật này, hòa giải viên lao động phải kết thúc việc hòa giải",ACTION,chunk_00577,s0,3
n_00070,"giải quyết tranh chấp hoặc từ cơ quan quy định tại khoản 3 điều 181 của bộ luật này, hòa giải viên lao động phải kết thúc việc hòa giải",ACTION,chunk_00577,s0,3
n_00071,làm việc kể từ ngày nhận được yêu cầu giải quyết tranh chấp theo,ACTION,chunk_00584,s0,9
n_00072,"yêu cầu giải quyết tranh chấp theo quy định tại khoản 1 điều này, ban trọng tài lao động phải được thành lập để giải quyết tranh chấp",ACTION,chunk_00584,s0,9
n_00073,"giải quyết tranh chấp theo quy định tại khoản 1 điều này, ban trọng tài lao động phải được thành lập để giải quyết tranh chấp",ACTION,chunk_00584,s0,9
n_00074,trong thời hạn 30 ngày,TIME_PERIOD,chunk_00585,s0,1
n_00075,ra quyết định về việc giải quyết tranh chấp và gửi cho các bên tranh chấp,ACTION,chunk_00585,s0,2
n_00076,được trả lương ngừng việc theo quy định tại khoản 2 điều 99 của bộ luật này và các quyền lợi khác theo quy định của pháp luật về lao động,OBLIGATION,chunk_00642,s0,1
n_00077,trong thời hạn 12 giờ,TIME_PERIOD,chunk_00654,s0,2
n_00078,"thông báo về cuộc đình công không tuân theo quy định tại các điều 200, 201 và 202 của bộ luật này, chủ tịch ủy ban nhân dân cấp huyện chủ trì, chỉ đạo cơ quan chuyên môn về lao động phối hợp với công đoàn cùng cấp, cơ quan, tổ chức có liên quan trực tiếp gặp gỡ người sử dụng lao động và đại diện ban lãnh đạo tổ chức đại diện người lao động tại cơ sở để nghe ý kiến, hỗ trợ các bên tìm biện pháp giải quyết, đưa hoạt động sản xuất, kinh doanh trở lại bình thường",ACTION,chunk_00654,s0,2
n_00079,"tuân theo quy định tại các điều 200, 201 và 202 của bộ luật này, chủ tịch ủy ban nhân dân cấp huyện chủ trì, chỉ đạo cơ quan chuyên môn về lao động phối hợp với công đoàn cùng cấp, cơ quan, tổ chức có liên quan trực tiếp gặp gỡ người sử dụng lao động và đại diện ban lãnh đạo tổ chức đại diện người lao động tại cơ sở để nghe ý kiến, hỗ trợ các bên tìm biện pháp giải quyết, đưa hoạt động sản xuất, kinh doanh trở lại bình thường",ACTION,chunk_00654,s0,2
n_00080,12 giờ,TIME_PERIOD,chunk_00654,s0,2
n_00081,người lãnh đạo cuộc đình công,LEGAL_ROLE,chunk_00675,s2,1
n_00082,truy cứu trách nhiệm hình sự,PENALTY,chunk_00675,s2,1
n_00083,15 năm,TIME_PERIOD,chunk_00677,s1,6
n_00084,"làm nghề, công việc nặng nhọc, độc hại, nguy hiểm hoặc đặc biệt nặng nhọc, độc hại, nguy hiểm thuộc danh mục do bộ lao động - thương binh và xã hội ban hành hoặc có đủ 15 năm làm việc ở vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn bao gồm cả thời gian làm việc ở nơi có phụ cấp khu vực hệ số 0,7 trở lên trước ngày 01 tháng 01 năm 2021",ACTION,chunk_00677,s1,2
n_00085,"làm việc ở vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn bao gồm cả thời gian làm việc ở nơi có phụ cấp khu vực hệ số 0,7 trở lên trước ngày 01 tháng 01 năm 2021",ACTION,chunk_00677,s1,2
n_00086,"làm nghề, công việc đặc biệt nặng nhọc, độc hại, nguy hiểm thuộc danh mục do bộ lao động - thương binh và xã hội ban hành và bị suy giảm khả năng lao động từ 61% trở lên",ACTION,chunk_00678,s2,1
n_00087,"làm nghề, công việc đặc biệt nặng nhọc, độc hại, nguy hiểm thuộc danh mục do bộ lao động - thương binh và xã hội ban hành",ACTION,chunk_00678,s4,1
